,name,duration,ratings,votes,user_review,Type,Episodes,start_year,end_year,genre1,genre2,rank
0,Hagane no renkinjutsushi,24.0,9.1,176063,433,TV-14,68,2009,2010,Action,Adventure,1
1,Hunter x Hunter,24.0,9.0,108634,314,TV-14,148,2011,2014,Action,Adventure,2
14,Shingeki no Kyojin,24.0,9.0,403414,2000,TV-MA,98,2013,2023,Action,Adventure,15
12,Ginga Eiyuu Densetsu,25.0,9.0,3912,27,TV-MA,110,1988,1997,Action,Drama,13
8,Death Note: Desu nôto,23.0,9.0,338267,816,TV-14,37,2006,2007,Crime,Drama,9
19,One Piece: Wan pîsu,24.0,8.9,135882,496,TV-14,1064,1999,2025,Action,Adventure,20
5,Kaubôi bibappu: Cowboy Bebop,24.0,8.9,125082,344,TV-14,26,1998,1999,Action,Adventure,6
77,Mirai shônen Konan,24.0,8.8,4556,25,TV-PG,26,1978,1978,Adventure,Comedy,78
15,Hajime no Ippo: New Challenger,24.0,8.8,2780,2,Not Rated,26,2009,2009,Action,Comedy,16
55,Dragon Ball Z,24.0,8.8,135570,200,TV-PG,277,1989,1996,Action,Adventure,56
2,Steins;Gate,24.0,8.8,65568,249,TV-14,26,2011,2015,Comedy,Drama,3
6,Hajime no ippo,20.0,8.8,7731,27,TV-PG,76,2000,2002,Action,Comedy,7
9,Monster,24.0,8.7,34524,143,TV-14,75,2004,2005,Crime,Drama,10
51,Kenpuu Denki Berserk,23.0,8.7,43031,133,TV-MA,25,1997,1998,Action,Adventure,52
94,Naruto: Shippûden,24.0,8.7,134644,366,TV-PG,502,2007,2017,Action,Adventure,95
26,Haikyuu!!,24.0,8.7,28304,117,TV-14,89,2014,2020,Comedy,Drama,27
11,Gintama,25.0,8.7,12542,64,TV-14,375,2005,2021,Action,Comedy,12
22,Slam Dunk: Suramu danku,22.0,8.7,6264,19,TV-PG,101,1993,1996,Comedy,Drama,23
4,Code Geass: Hangyaku no Lelouch,24.0,8.7,71721,203,TV-14,54,2006,2008,Action,Drama,5
3,Clannad: After Story,24.0,8.6,11670,58,TV-MA,25,2008,2009,Comedy,Drama,4
78,Dragon Ball,24.0,8.6,61531,48,TV-14,153,1995,2003,Action,Adventure,79
423,Monogatari Series: Second Season,25.0,8.6,2700,7,TV-14,26,2013,2013,Adventure,Comedy,424
479,Ping Pong the Animation,24.0,8.6,4200,17,TV-14,11,2014,2014,Drama,Sport,480
29,Samurai chanpurû,24.0,8.6,50974,97,TV-MA,26,2004,2005,Action,Adventure,30
418,Shigatsu wa kimi no uso,23.0,8.6,32218,230,TV-PG,24,2014,2018,Comedy,Drama,419
36,Hunter x Hunter,23.0,8.6,8702,26,TV-PG,62,1999,2001,Action,Adventure,37
54,Shin seiki evangerion,24.0,8.5,74356,298,TV-MA,26,1995,1996,Action,Drama,55
34,Kôkaku kidôtai: Stand Alone Complex,24.0,8.5,20186,43,TV-MA,52,2002,2005,Action,Crime,35
291,GTO,24.0,8.5,9900,28,TV-MA,43,1999,2000,Comedy,Drama,292
48,Nana,21.0,8.5,4556,25,TV-MA,50,2006,2007,Comedy,Drama,49
46,Hagane no renkinjutsushi,24.0,8.5,72931,128,TV-PG,51,2003,2004,Action,Adventure,47
57,JoJo no Kimyô na Bôken,24.0,8.5,27497,187,TV-14,194,2012,2025,Action,Adventure,58
38,Rurôni Kenshin - Meiji kenkaku romantan,24.0,8.5,19750,66,TV-14,95,1996,1998,Action,Adventure,39
254,Nana,21.0,8.5,4556,25,TV-MA,50,2006,2007,Comedy,Drama,255
65,Meitantei Conan,25.0,8.5,13866,51,TV-14,1095,1996,2025,Action,Comedy,66
120,Robotech,30.0,8.5,3785,35,TV-Y7,85,1985,1985,Action,Adventure,121
32,Yu yu hakusho,24.0,8.5,14312,59,TV-PG,112,1992,1995,Action,Adventure,33
10,Mushishi,25.0,8.5,13903,34,TV-14,27,2005,2014,Drama,Fantasy,11
13,GTO,24.0,8.5,9900,28,TV-MA,43,1999,2000,Comedy,Drama,14
308,Space Cobra,24.0,8.4,808,4,Not Rated,32,1982,1983,Action,Adventure,309
306,Seinto Seiya,24.0,8.4,10381,29,TV-PG,114,1986,1989,Action,Adventure,307
323,UFO robo: Gurendaizâ,26.0,8.4,2268,10,Not Rated,74,1975,1977,Action,Romance,324
59,Berusaiyu no bara,24.0,8.4,2130,14,TV-PG,41,1979,1980,Action,Drama,60
115,Naruto,24.0,8.4,108995,277,TV-PG,220,2002,2007,Action,Adventure,116
